words,links,capital_words,spam_word_count,is_spam
629,4,8,3,1
108,1,3,2,0
143,9,27,4,1
317,5,8,4,1
185,5,3,2,0
279,0,1,0,0
213,0,4,0,0
242,1,1,2,0
263,1,4,2,0
111,1,3,1,0
247,0,2,5,0
202,0,2,0,0
231,0,4,2,0
810,7,16,4,1
693,9,26,2,1
413,8,28,4,1
122,0,8,1,1
262,2,3,2,0
306,2,7,0,0
493,9,6,9,1
376,0,7,5,1
322,4,7,1,1
835,5,18,10,1
882,0,0,9,1
316,8,22,4,1
159,5,0,2,0
22,0,3,3,0
153,2,4,0,0
480,3,11,1,1
714,4,20,9,1
412,9,22,10,1
245,0,1,2,0
482,2,1,2,0
114,0,8,1,0
204,2,3,0,0
633,8,19,7,1
219,1,8,0,0
523,10,19,10,1
299,0,2,0,0
208,2,8,1,0
662,5,6,7,1
109,2,17,6,1
259,1,0,0,0
187,8,15,6,1
197,0,0,1,0
159,2,6,8,1
152,3,20,2,1
657,5,28,3,1
131,1,2,4,0
206,0,2,2,0
91,1,9,5,0
759,5,2,5,1
324,5,25,8,1
239,1,1,2,0
935,8,12,5,1
290,0,3,6,0
553,3,9,10,1
493,3,1,4,0
58,2,1,0,0
89,2,3,1,0
176,0,11,1,1
232,2,4,2,0
28,0,1,0,0
135,5,3,0,0
233,0,0,1,0
500,5,8,7,1
153,8,24,5,1
290,0,1,1,0
909,9,12,7,1
106,1,0,2,0
294,4,15,9,1
83,10,5,4,1
57,2,0,4,0
130,6,23,4,1
268,5,5,6,1
166,2,7,1,0
429,2,2,1,0
61,8,7,4,1
273,2,0,3,0
259,3,15,6,1
137,0,3,1,0
146,0,2,1,0
595,3,30,6,1
209,0,2,1,0
878,7,25,3,1
286,1,7,4,0
149,2,0,1,0
282,1,1,0,0
57,5,16,6,1
371,0,1,3,1
111,2,7,3,1
288,0,3,1,0
62,0,3,2,0
130,3,13,5,1
189,4,2,0,0
122,2,3,2,0
39,2,1,0,0
70,9,17,1,1
157,2,13,5,1
858,7,20,1,1
130,8,10,3,1
176,0,2,0,0
479,1,0,1,0
95,1,3,1,0
196,4,2,3,0
119,2,10,1,0
81,6,3,2,1
288,5,0,1,0
182,2,26,10,1
522,9,16,10,1
408,2,21,0,1
451,2,19,3,1
146,3,11,4,1
53,0,0,1,0
683,7,30,4,1
85,1,3,3,0
464,5,0,2,0
75,3,7,6,1
50,2,23,7,1
184,8,2,6,1
577,6,1,5,1
87,10,9,8,1
832,6,25,1,1
52,2,3,0,0
189,2,3,1,0
958,7,26,7,1
198,3,3,2,0
143,8,30,6,1
141,1,10,0,0
231,1,3,4,0
41,2,0,2,0
800,3,15,3,1
28,0,1,0,0
398,1,0,1,0
399,9,21,2,1
695,3,25,10,1
280,2,2,2,0
470,2,0,3,0
125,8,28,4,1
295,1,2,5,0
221,7,1,6,1
163,1,0,1,0
233,0,3,2,0
285,0,0,2,0
761,5,29,7,1
744,10,3,7,1
200,5,3,2,0
199,10,15,4,1
93,0,3,2,0
458,7,16,8,1
132,2,2,0,0
157,2,24,6,1
408,1,0,1,0
173,10,22,8,1
189,4,8,9,1
640,5,4,5,1
164,3,0,2,0
865,10,5,6,1
474,7,27,5,1
39,0,0,1,0
254,0,3,1,0
721,3,5,0,1
153,3,30,3,1
347,9,8,0,1
283,0,0,1,0
80,0,2,6,0
258,0,2,2,0
141,1,2,3,1
811,10,10,8,1
300,2,1,4,0
731,4,12,10,1
119,9,9,10,1
97,0,3,0,0
115,10,29,8,1
231,4,3,2,0
195,2,3,0,0
202,0,3,2,0
127,2,26,7,1
718,6,8,4,1
253,2,0,0,0
379,0,1,0,0
59,0,2,1,0
279,2,2,5,0
343,0,2,1,0
167,0,2,0,0
147,4,6,3,1
260,1,1,0,0
162,4,25,6,1
521,4,14,8,1
180,2,0,1,0
211,1,0,5,0
457,0,2,0,0
750,8,5,10,1
358,1,17,1,1
296,3,17,0,1
163,0,3,4,0
261,1,3,0,0
415,3,19,9,1
192,1,3,0,0
211,1,9,0,0
421,7,17,5,1
209,0,8,1,0
169,0,0,2,0
38,0,0,2,0
653,6,21,2,1
722,10,17,1,1
210,3,2,2,0
658,3,16,10,1
814,7,7,7,1
184,5,27,10,1
995,2,16,7,1
238,1,7,2,0
495,1,1,3,0
434,4,8,7,1
395,4,6,10,1
872,5,0,10,1
32,0,3,1,0
737,2,22,1,1
88,1,25,10,1
200,0,0,2,0
242,2,3,0,0
716,0,2,6,1
256,3,23,4,1
111,0,3,3,0
82,0,24,6,1
281,2,4,6,1
102,4,27,10,1
206,1,1,2,0
270,2,1,1,0
216,2,0,0,0
26,3,2,5,0
87,1,3,1,0
150,1,1,0,0
139,0,3,1,0
126,0,0,1,0
65,1,2,1,0
103,4,0,2,0
887,10,16,3,1
214,2,0,0,0
239,0,1,2,0
508,10,25,5,1
328,0,12,6,1
142,9,3,5,1
290,0,1,0,0
80,9,8,8,1
184,1,2,0,0
383,8,0,0,1
953,8,9,4,1
477,2,25,10,1
128,2,8,3,1
275,8,1,6,1
825,5,5,0,1
527,4,20,9,1
312,2,2,2,0
209,1,2,2,0
88,7,24,7,1
62,2,2,0,0
577,9,11,8,1
290,4,0,0,0
70,7,1,8,1
45,0,1,2,0
114,7,11,3,1
31,0,3,1,0
369,6,9,8,1
374,4,10,9,1
105,1,2,0,0
609,6,5,2,1
601,2,25,5,1
117,2,0,2,0
236,1,10,2,0
483,6,21,10,1
105,1,2,2,0
223,0,0,2,0
138,5,8,7,1
161,8,26,9,1
212,10,6,3,1
389,2,18,5,1
510,2,27,3,1
357,9,16,1,1
85,0,3,1,0
469,0,10,3,1
163,2,25,3,1
665,8,6,5,1
68,0,0,2,0
345,0,1,1,0
23,0,1,5,0
910,8,4,1,1
732,6,27,7,1
146,4,0,6,0
381,4,6,2,0
47,0,0,1,0
465,4,12,4,1
385,2,1,2,0
615,9,7,6,1
637,4,7,9,1
244,6,6,3,1
623,8,10,2,1
935,4,10,8,1
203,0,7,2,0
161,0,2,0,0
679,8,7,10,1
234,4,29,5,1
728,2,22,3,1
235,0,0,1,0
291,1,1,2,0
162,2,1,1,0
140,5,5,8,1
281,0,30,4,1
391,2,2,6,0
190,3,26,2,1
104,1,3,1,0
792,4,1,4,1
79,2,3,6,0
694,3,23,5,1
148,2,0,1,0
81,0,9,1,0
794,2,6,9,1
536,0,13,6,1
124,9,7,6,1
125,1,0,0,0
469,4,3,5,1
45,2,1,5,0
443,1,28,6,1
706,1,6,4,1
740,8,14,6,1
757,8,0,6,1
107,10,11,1,1
48,2,0,5,0
92,5,27,10,1
178,0,9,6,0
169,9,12,8,1
675,9,26,2,1
219,1,2,2,0
750,7,4,10,1
776,7,28,7,1
125,2,6,0,0
204,1,2,0,0
520,3,24,0,1
454,0,0,0,0
393,0,2,5,0
110,3,0,2,0
104,2,3,0,0
815,2,13,7,1
133,3,20,1,1
115,2,6,0,1
238,1,6,2,0
739,6,30,6,1
882,9,23,2,1
162,3,3,5,0
206,1,0,1,0
438,7,5,6,1
261,1,3,0,0
29,4,2,0,0
54,5,12,7,1
717,1,2,2,1
531,4,10,1,1
54,1,1,6,0
514,2,11,3,1
891,8,10,3,1
331,2,1,1,0
130,2,0,2,0
247,0,0,0,0
837,5,2,6,1
171,0,1,0,0
46,2,1,0,0
114,4,6,7,1
171,4,8,2,0
288,3,6,1,0
165,1,3,2,0
301,8,23,10,1
192,2,3,2,0
459,2,0,1,0
694,2,16,7,1
153,8,6,6,1
712,7,23,10,1
328,10,1,4,1
409,5,16,2,1
413,1,6,1,0
161,0,1,2,0
222,3,26,9,1
69,4,1,3,0
198,3,19,4,1
345,3,3,1,0
361,3,14,10,1
56,1,4,0,0
534,1,29,3,1
383,0,19,4,1
248,2,1,1,0
48,0,1,5,0
951,9,2,4,1
275,1,0,0,0
780,3,7,8,1
490,3,30,1,1
351,10,7,4,1
228,1,1,5,0
137,1,3,0,0
376,4,30,10,1
133,1,2,2,0
261,10,27,6,1
781,8,16,7,1
992,9,18,3,1
278,4,1,3,0
119,2,0,5,0
188,7,10,7,1
157,0,5,4,0
68,2,3,2,0
51,2,1,0,0
707,3,23,8,1
954,9,8,6,1
42,1,2,2,0
898,8,27,8,1
134,5,1,0,0
313,1,10,2,0
72,9,25,3,1
116,5,24,10,1
266,1,3,2,0
163,5,0,1,0
720,5,12,2,1
280,1,0,1,0
57,1,1,2,0
313,1,2,1,0
275,0,1,3,0
867,1,3,4,1
299,9,2,3,1
146,0,1,2,0
361,9,25,9,1
127,0,3,6,0
889,3,20,7,1
364,10,11,1,1
346,0,2,9,1
780,9,7,3,1
807,7,3,7,1
85,4,16,10,1
671,7,7,9,1
121,5,3,0,0
37,1,2,2,0
193,6,5,2,1
247,10,2,6,1
126,3,21,9,1
319,1,3,2,0
292,0,4,0,0
74,0,2,0,0
205,0,1,2,0
185,2,21,6,1
161,3,26,8,1
217,1,22,4,1
637,3,30,1,1
184,5,1,2,0
488,8,20,1,1
300,0,1,1,0
168,3,27,5,1
533,1,30,5,1
21,2,3,0,0
213,1,3,0,0
248,3,19,6,1
301,9,6,7,1
275,2,0,0,0
80,3,13,6,1
718,5,11,9,1
413,8,24,1,1
366,2,3,0,0
558,3,5,0,1
128,2,2,2,0
289,0,0,0,0
157,2,2,8,1
95,1,3,1,0
127,2,30,4,1
93,4,0,6,0
910,9,9,5,1
206,3,1,1,0
35,0,1,1,0
31,0,2,5,0
213,2,9,1,0
175,1,1,0,0
554,5,7,6,1
465,6,12,6,1
549,1,18,7,1
185,0,3,1,0
270,2,2,2,0
208,4,1,2,0
416,2,0,2,0
153,4,3,2,0
489,2,1,0,0
70,2,0,1,0
503,5,20,6,1
112,2,6,0,0
28,4,0,0,0
106,1,1,0,0
61,1,2,2,0
76,1,15,4,1
431,4,5,5,1
204,1,1,3,0
990,3,6,5,1
848,2,1,4,1
138,0,10,9,1
72,2,3,2,0
195,1,0,0,0
120,2,25,9,1
29,1,2,1,0
123,2,6,1,0
529,3,0,8,1
668,9,1,5,1
244,9,4,10,1
791,8,19,8,1
293,1,2,1,0
151,4,10,1,0
202,1,3,0,0
128,1,24,1,1
281,1,3,0,0
208,0,0,1,0
20,1,3,0,0
82,4,5,3,1
256,0,1,1,0
575,5,29,3,1
102,6,19,7,1
214,0,2,3,0
130,5,13,4,1
291,4,1,10,1
95,5,3,7,1
153,5,10,0,0
560,3,23,9,1
219,2,9,2,0
93,0,0,4,0
560,1,3,8,1
793,3,20,3,1
50,10,4,6,1
82,5,2,2,0
996,4,19,3,1
125,5,28,5,1
923,4,20,5,1
192,10,23,6,1
297,0,1,2,0
123,10,9,4,1
741,2,21,8,1
335,0,10,9,1
731,3,13,7,1
124,9,7,5,1
106,1,0,0,0
81,10,0,8,1
134,9,2,6,1
208,1,2,2,0
103,1,3,2,0
380,2,5,2,0
943,7,30,4,1
310,0,2,8,1
265,2,1,0,0
384,2,1,0,0
296,2,1,2,0
208,7,14,10,1
613,8,12,8,1
188,2,22,6,1
274,1,1,0,0
292,5,2,1,0
159,2,2,1,0
281,1,4,6,0
120,0,2,0,0
588,7,12,4,1
170,2,2,2,0
187,2,4,3,0
149,6,5,0,1
214,1,2,1,0
273,1,1,2,0
62,1,1,2,0
35,2,2,5,0
820,3,20,6,1
629,7,29,10,1
304,10,12,5,1
771,0,12,8,1
221,1,0,0,0
191,2,0,2,0
48,0,0,1,0
704,2,9,10,1
794,4,1,0,1
79,2,8,5,0
262,0,3,1,0
83,4,2,1,0
129,10,1,5,1
240,5,19,9,1
200,2,2,5,0
210,4,0,1,0
296,1,0,1,0
109,1,1,0,0
168,3,18,7,1
114,0,0,3,0
778,4,28,6,1
155,9,30,1,1
259,1,7,2,0
34,0,0,2,0
923,2,17,1,1
249,0,2,4,0
187,4,9,5,1
265,2,2,4,0
21,0,2,4,0
417,4,4,8,1
938,9,6,3,1
168,3,21,3,1
228,1,0,0,0
151,1,0,6,0
196,0,1,2,0
160,0,3,2,0
137,2,0,0,0
218,1,3,3,0
28,1,2,2,0
253,2,6,2,0
426,1,3,1,0
69,1,1,2,0
40,1,5,0,0
150,0,1,1,0
241,0,0,3,0
67,2,0,0,0
112,2,2,0,0
207,0,0,2,0
540,6,8,8,1
649,6,2,0,1
79,1,0,2,0
62,10,1,9,1
792,3,28,9,1
123,3,5,4,1
184,2,0,6,0
937,3,20,4,1
299,0,8,0,0
130,0,0,0,0
200,3,2,0,0
195,2,5,0,1
400,0,10,0,0
126,1,2,1,0
229,2,3,0,0
129,1,3,4,0
963,5,24,1,1
816,0,20,7,1
143,2,1,1,0
165,1,1,1,0
88,9,27,6,1
128,0,0,0,0
297,2,1,2,0
202,2,3,0,0
136,2,0,5,0
313,10,28,10,1
340,1,3,6,0
246,5,9,3,1
596,7,5,8,1
273,2,26,6,1
276,4,3,1,0
295,2,23,4,1
249,7,10,9,1
665,7,29,10,1
269,0,7,0,0
260,2,7,1,0
972,7,13,5,1
233,5,0,0,0
168,0,7,10,1
456,7,24,9,1
194,1,3,1,0
23,0,3,2,0
337,9,25,4,1
284,9,26,6,1
247,2,0,1,0
134,2,22,9,1
137,2,2,0,0
262,1,2,5,0
982,4,15,5,1
180,7,21,4,1
76,1,3,2,0
130,1,3,2,0
96,0,3,1,0
485,1,2,1,0
909,1,2,3,1
318,9,12,0,1
202,0,2,0,0
304,1,7,0,0
644,2,16,2,1
496,4,4,0,1
263,1,3,1,0
211,10,8,5,1
111,1,20,6,1
120,0,17,6,1
102,2,0,2,0
254,1,1,0,0
64,1,5,2,0
271,2,4,0,0
187,5,23,10,1
394,3,4,3,1
60,0,2,1,0
427,3,3,0,0
875,8,9,0,1
429,4,21,9,1
159,0,0,0,0
100,1,0,0,0
962,2,19,8,1
273,2,2,5,0
